Feed ID,Site,Feed Name,Feed URL,Faculty/Unit/Group,Script,Type,Notes,Tags,Time Limit
soes-seminars,SOES,Ocean and Earth Science Public Seminars,http://www.soton.ac.uk/soes/news/feeds/soes_public_seminars.page,http://id.southampton.ac.uk/org/HN,RSS,Seminar,,,
soes-palaeo-seminars,SOES,Palaeo Seminar series,http://www.soton.ac.uk/soes/news/feeds/palaeo_seminar_series.page,http://id.southampton.ac.uk/org/F6HN070000,RSS,Seminar,,,
wsa-events,WSA,wsa - Events feed,http://www.soton.ac.uk/wsa/news/feeds/events_feed.page,http://id.southampton.ac.uk/org/FH,RSS,Event,,,
wsa-seminars,WSA,wsa - Seminars feed,http://www.soton.ac.uk/wsa/news/feeds/seminars_feed.page,http://id.southampton.ac.uk/org/FH,RSS,Seminar,,,
careers,Careers,,http://www.student.careers.soton.ac.uk/eventcalendar/,,,,Possibly CRM booking system in use,,
international,International events,,http://www.soton.ac.uk/international/join_us/meetus.html,http://id.southampton.ac.uk/org/NP,,,Static web page in TeamSite,,
alumni,Alumni,,http://www.soton.ac.uk/alumni/alumnievents/forthcomingevents.html,http://id.southampton.ac.uk/org/PKCD080000,,,Static web page in TeamSite,,
outreach,"Outreach, Schools & Colleges talks",,http://www.soton.ac.uk/schoolsandcolleges/index.html,http://id.southampton.ac.uk/org/PKGX050100,,,Information is posted across the site and incomplete,,
ucas,UCAS and Higher Education Fairs,,http://www.southampton.ac.uk/undergraduate/university_open_days/ucas_he_fairs.html,http://id.southampton.ac.uk/org/PKGX050300,UCAS,,Static web page in TeamSite,UCASEvent,
opendays,Open days,,http://www.soton.ac.uk/study/visitsopendays/ug_open_days.shtml,http://id.southampton.ac.uk/org/PKGX050300,,,Static web page in TeamSite / Check if school specific open day on AU site,,
corporate,Corporate events,,http://www.events.soton.ac.uk/highlights/,,,,"Currently in Events calendar, but will have no 'home' when calendar replaced",,
ris,RIS events,,,http://id.southampton.ac.uk/org/TW,,,Not found online,,
john-hansard-gallery,John Hansard Gallery,,http://www.hansardgallery.org.uk/,http://id.southampton.ac.uk/org/P2GR030000,,,Dreamweaver site,,
turner-sims,Turner Sims,Events from Turner Sims,https://www.turnersims.co.uk/upcoming-events/feed/,http://id.southampton.ac.uk/org/P2GR020000,RSS,,Wordpress Site,,
nuffield-theatre,Nuffield Theatre,,http://www.nuffieldtheatre.co.uk/events/category/C86/,,Nuffield,,Externally hosted,TheatreEvent,180
ecs-seminars,ECS,ECS Seminars,http://www.ecs.soton.ac.uk/feeds/seminars_rss.php,http://id.southampton.ac.uk/org/FP,RSSECS,Seminar,,,
comms-calendar,Sharepoint,Additional Events,file:///home/diary-live/soton/etc/comms-sp-calendar.tsv,http://id.southampton.ac.uk/org/DK,SharePoint,Event,,,
susu,SUSU,SUSU Events,http://www.susu.org/feeds/whatson.xml,http://id.southampton.ac.uk/org/SU,RSSSUSU,Event,,,
lifelong-learning-events,Lifelong Learning,Lifelong Learning Events,http://www.southampton.ac.uk/lifelonglearning/news/feeds/lll_events_feed.page,,RSS,Event,,,
theano,Theano,Theano Events,http://www.southampton.ac.uk/theano/news/feeds/event_feed_2.page,,RSS,Event,,,
ifls,Institute for Life Sciences,Institute for Life Sciences Events,http://www.southampton.ac.uk/ifls/news/feeds/ifls_events.page,http://id.southampton.ac.uk/org/JL,RSS,Event,,,
diversity,Diversity,,http://www.southampton.ac.uk/diversity/news/feeds/diversitiy_events_feed.page,,RSS,Event,,,
cite,CITE,Centre for Innovation in Technology and Education,https://www.cite.soton.ac.uk/ai1ec_event/feed/,http://id.southampton.ac.uk/org/X0010,RSS,Event,,,
multidisciplinary-events,Multidisciplinary,Multidisciplinary Events,http://www.southampton.ac.uk/multidisciplinary/news/feeds/multidisciplinary_events.page,,RSS,Event,,,
sustainability-science,Sustainability Science,Sustainability Science Events,http://www.southampton.ac.uk/sustainability_science/news/feeds/events_from_sustainability_at_southampton.page,,RSS,Event,,,
